Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
aden,ADEN,"<h3>ADEN</h3><p><em>Previously known as Oud Fire</em></p><p>Warm oud, fire-roasted amber</p><p>The port city exhales in layers — salt-crusted timber, coal smoke curling from dockside braziers, the honeyed amber of frankincense stacked in merchant stalls. Aden has traded in fire since before memory. You press your wrist to warm stone and the oud rises like a signal flame, dark and unhurried, carrying the weight of every cargo that ever passed through these ancient walls.</p><p><strong>Ember Territory</strong> — The Intimacy of Ancient Routes</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Ember, Ember Territory, formerly Oud Fire, Warm oud, fire-roasted amber, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-ADEN-6ML,30,shopify,10,deny,manual,28,,TRUE,TRUE,,,1,ADEN perfume oil by Tarife Attar,FALSE,ADEN — Oud Fire Perfume Oil | Tarife Attar Atlas Collection,"Warm oud, fire-roasted amber. Ember Territory. Clean, skin-safe perfume oil. Previously known as Oud Fire. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
aden,,,,,,,,Size,12ml,,,,,TA-ADEN-12ML,55,shopify,5,deny,manual,48,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
saana,SAANA,"<h3>SAANA</h3><p><em>Previously known as Honey Oud</em></p><p>Raw honey, aged oud, desert spice</p><p>The old city rises at seven thousand feet, its tower houses built of rammed earth and gypsum, their windows glowing like amber lanterns against a desert sky. In the souks of Sana'a, wild honey arrives in clay vessels from the highlands — dark, floral, thick with the memory of mountain wildflowers. The oud here is sun-warmed and golden, sweetened by altitude and time. Saana is the scent of honey dripped onto ancient wood, of warmth earned through elevation, of a city that has been keeping secrets since before the caravans arrived.</p><p><strong>Ember Territory</strong> — The Intimacy of Ancient Routes</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Ember, Ember Territory, formerly Honey Oud, Raw honey, aged oud, desert spice, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-SAANA-6ML,30,shopify,10,deny,manual,28,,TRUE,TRUE,,,1,SAANA perfume oil by Tarife Attar,FALSE,SAANA — Honey Oud Perfume Oil | Tarife Attar Atlas Collection,"Raw honey, aged oud, desert spice. Ember Territory. Clean, skin-safe perfume oil. Previously known as Honey Oud. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
saana,,,,,,,,Size,12ml,,,,,TA-SAANA-12ML,55,shopify,5,deny,manual,48,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
granada,GRANADA,"<h3>GRANADA</h3><p><em>Previously known as Granada Amber</em></p><p>Spanish amber, Moorish garden</p><p>Beneath the Alhambra's latticed arches, the air holds still. Warm amber pools in the courtyards where Moorish fountains once sang. Orange blossom drifts from the Generalife gardens, settling on sunlit stone. Granada smells the way memory does — layered, golden, impossible to hold but impossible to forget.</p><p><strong>Ember Territory</strong> — The Intimacy of Ancient Routes</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Ember, Ember Territory, formerly Granada Amber, Spanish amber, Moorish garden, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-GRANADA-6ML,30,shopify,10,deny,manual,28,,TRUE,TRUE,,,1,GRANADA perfume oil by Tarife Attar,FALSE,GRANADA — Granada Amber Perfume Oil | Tarife Attar Atlas Collection,"Spanish amber, Moorish garden. Ember Territory. Clean, skin-safe perfume oil. Previously known as Granada Amber. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
granada,,,,,,,,Size,12ml,,,,,TA-GRANADA-12ML,55,shopify,5,deny,manual,48,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
malabar,MALABAR,"<h3>MALABAR</h3><p><em>Previously known as Vanilla Sands</em></p><p>Balsam, rose, vanilla, monsoon warmth</p><p>The Malabar Coast unfurls like a green ribbon along the Arabian Sea — pepper vines climbing teak forests, cardamom drying on stone terraces, vanilla orchids threading through the canopy. This is where the spice trade began, where Arab and Chinese merchants dropped anchor centuries before the Portuguese rounded the Cape. The air here is heavy with resin and sweetness, vanilla warmed by monsoon rain, balsam carried on salt wind. Malabar is the scent of origin itself — the coast where the world first learned to trade in beauty.</p><p><strong>Ember Territory</strong> — The Intimacy of Ancient Routes</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Ember, Ember Territory, formerly Vanilla Sands, Balsam, rose, vanilla, monsoon warmth, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-MALABAR-6ML,30,shopify,10,deny,manual,28,,TRUE,TRUE,,,1,MALABAR perfume oil by Tarife Attar,FALSE,MALABAR — Vanilla Sands Perfume Oil | Tarife Attar Atlas Collection,"Balsam, rose, vanilla, monsoon warmth. Ember Territory. Clean, skin-safe perfume oil. Previously known as Vanilla Sands. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
malabar,,,,,,,,Size,12ml,,,,,TA-MALABAR-12ML,55,shopify,5,deny,manual,48,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
serengeti,SERENGETI,"<h3>SERENGETI</h3><p><em>Previously known as Black Musk</em></p><p>Dark musk, ancient resin, deep gravity</p><p>Night falls fast on the plain. The grass exhales a dark, musky warmth and somewhere a fire crackles low, throwing shadows against acacia trunks. This is the scent of the earth before anything was built on it — black musk, volcanic resin, the deep gravitational pull of a continent that has never needed to prove itself.</p><p><strong>Ember Territory</strong> — The Intimacy of Ancient Routes</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Ember, Ember Territory, formerly Black Musk, Dark musk, ancient resin, deep gravity, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-SERENGETI-6ML,30,shopify,10,deny,manual,28,,TRUE,TRUE,,,1,SERENGETI perfume oil by Tarife Attar,FALSE,SERENGETI — Black Musk Perfume Oil | Tarife Attar Atlas Collection,"Dark musk, ancient resin, deep gravity. Ember Territory. Clean, skin-safe perfume oil. Previously known as Black Musk. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
serengeti,,,,,,,,Size,12ml,,,,,TA-SERENGETI-12ML,55,shopify,5,deny,manual,48,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
